Model,Move_number,Accuracy,Precision,Recall,F1-Score,Weighted Precision,Weighted Recall,Weighted F1-Score
Random Forest,10,0.5110619469026548,0.5100718473134395,0.5101337866804642,0.5096795727636849,0.513402182295346,0.5110619469026548,0.5118107328945969
Gradient Boosting,10,0.5143805309734514,0.5091079400510204,0.5090078103826349,0.5087242373487726,0.5123593711198529,0.5143805309734514,0.5130393479490429
Support Vector Machine,10,0.5376106194690266,0.5012894619831036,0.500214354349915,0.385290117712895,0.5045434155593242,0.5376106194690266,0.4103383780016811
Random Forest,20,0.49557522123893805,0.4927339519924463,0.4927193436321975,0.49270482603815935,0.4961251443189042,0.49557522123893805,0.49582849140371266
Gradient Boosting,20,0.5497787610619469,0.541602097352835,0.538628132160544,0.5346494706234262,0.5440031811404313,0.5497787610619469,0.5415179828470491
Support Vector Machine,20,0.5387168141592921,0.514929990231195,0.5045186882499322,0.4155453331906957,0.5172583301395008,0.5387168141592921,0.43750844064051764
Random Forest,30,0.5232300884955752,0.5211163904814262,0.5211989060536625,0.5210492996269185,0.5243750082532393,0.5232300884955752,0.5236948467790595
Gradient Boosting,30,0.5619469026548672,0.5561491346227159,0.554433685662897,0.5535468422627956,0.5586148520616768,0.5619469026548672,0.558559781529032
Support Vector Machine,30,0.5398230088495575,0.5228387008756896,0.5131988074999384,0.4680788467196234,0.5249689361130899,0.5398230088495575,0.4840700153871389
Random Forest,40,0.5530973451327433,0.5503776788130798,0.5504471875230985,0.550401567862753,0.553427001656339,0.5530973451327433,0.5532513895481714
Gradient Boosting,40,0.5940265486725663,0.5899038461538462,0.5884618227511271,0.588474691481299,0.5921470813478557,0.5940265486725663,0.5923874289303827
Support Vector Machine,40,0.5453539823008849,0.5347123719464145,0.5130238746396629,0.4380685762510379,0.535812203184167,0.5453539823008849,0.4581676143464523
Random Forest,50,0.6183628318584071,0.6156464598626569,0.6155148200162615,0.61557377352281,0.6181591039587259,0.6183628318584071,0.6182541672479293
Gradient Boosting,50,0.6371681415929203,0.6340464612095572,0.6316209623771158,0.6319145132778516,0.6356732523952534,0.6371681415929203,0.6355142215678061
Support Vector Machine,50,0.5685840707964602,0.5729414473179342,0.5421538916401804,0.501323918799647,0.5723949289067662,0.5685840707964602,0.5163156394254427
Random Forest,60,0.6415929203539823,0.6393474891125163,0.6395397541084584,0.639430960365178,0.6418650938377963,0.6415929203539823,0.6417164609247711
Gradient Boosting,60,0.6515486725663717,0.6487353152721169,0.6467366398107769,0.6471441051281575,0.6503617874578581,0.6515486725663717,0.6503712139442748
Support Vector Machine,60,0.5962389380530974,0.6265135359814942,0.5689925345553996,0.5283368140578386,0.6228528819836161,0.5962389380530974,0.5429862518877195
Random Forest,70,0.7079646017699115,0.7059686767177484,0.7047182595412325,0.7051707779886148,0.7074167007752,0.7079646017699115,0.7075201298047052
Gradient Boosting,70,0.7112831858407079,0.7096919204027811,0.7068741222558947,0.7076336871061877,0.7106118707340825,0.7112831858407079,0.7103075772681134
Support Vector Machine,70,0.6382743362831859,0.6859795548654244,0.613317071968857,0.5860846431196836,0.6797644383599919,0.6382743362831859,0.5981159119486529
Random Forest,80,0.7743362831858407,0.7734040809026277,0.7711730357010865,0.7719745978989851,0.7740311988022437,0.7743362831858407,0.7738742143253688
Gradient Boosting,80,0.7732300884955752,0.7718806259520842,0.7708798383718924,0.7713022026910124,0.7729660632153269,0.7732300884955752,0.7730210406372492
Support Vector Machine,80,0.6559734513274337,0.7004487103292523,0.6329588291817577,0.6130770765811331,0.6942154353933914,0.6559734513274337,0.6236230291765691
