id,moves,opening_eco,winner,evaluations,avg_eval,max_eval,min_eval,eval_diff,eval_variance,avg_rate_change,max_rate_change,sign_changes,white_advantage_time,eval_range
,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 g8f6 b1c3 d7d6 f1e2 c6d4 d1d4 f8g7 c1g5 e8g8 d4d2 a7a5 e1g1 a5a4 f1d1 d8a5 a1c1 c8e6 f2f3 f8c8 c3b5 a5d2 d1d2 h7h6 g5e3 f6d7 b5d4 d7c5 d4e6 c5e6 h2h4 b7b5 f3f4 b5b4 h4h5 e6c5 e2f3 a8b8 h5g6 f7g6 e4e5 d6e5 f4e5 g7e5 d2d5 e5d6 e3h6 b4b3 a2a3 c5d7 f3g4 c8c7 g1f2 d7f6 g4e6 g8h7 c1h1 f6h5 h6e3 b8f8 f2e1 d6g3 e1e2 h7g7 e3d4 g7h6 h1h3 c7c4 d5h5 g6h5 e6c4 g3f4 g2g4 h6g5 g4h5 e7e5 d4e3 g5g4 c4e6 g4g5 h5h6 f4e3 e2e3 g5f6 h6h7 f8h8 e6d5 f6e7 e3e4 e7d6 h3h6 d6c5 e4e5 c5b5 d5g8 b5a5 e5f6,B36,1,35 28 37 37 34 33 35 41 46 52 47 47 43 31 34 34 35 31 30 36 37 36 14 11 16 12 -12 -8 -10 -9 -10 0 -9 -11 -10 -5 -17 -9 -31 -34 -32 -34 -63 -31 -19 -1 0 -12 -24 -30 -33 -7 ,7.903846153846154,52.0,-63.0,-42.0,813.5869082840237,-0.8235294117647058,32.0,5.0,0.5,115.0
,c2c4 g8f6 g2g3 e7e6 g1f3 d7d5 f1g2 f8e7 b2b3 d5d4 c1b2 c7c5 e2e3 b8c6 e3d4 c5d4 e1g1 e8g8 f1e1 f8e8 d2d3 e7d6 b2a3 e6e5 a3d6 d8d6 b1d2 c8f5 g2f1 c6b4 d1b1 a7a5 f3g5 d6c6 a2a3 b4a6 b3b4 a6c7 f1g2 c6b6 g5e4 a5b4 b1b4 b6b4 a3b4 c7a6 e4d6 f5d3 d6e8 a8e8 b4b5 a6c5 b5b6 e5e4 a1a5 f6d7 a5b5 f7f5 g2f1 d3c2 e1a1 e4e3 f2e3 d4e3 d2f3 e3e2 f1h3 c2e4 f3e1 d7e5 b5c5 g7g5 h3g2 e4d3 g2d5 g8g7 d5b7 d3c4 b7g2 f5f4 a1a7 g7f6 g3f4 g5f4 a7h7 e5d3 c5c6 f6f5 c6c4 d3e1 g2e4 f5g5 g1f2 f4f3 c4c1 e1g2 e4f3 e2e1q c1e1 g2e1 f3c6 e1d3 f2g2 d3f4 g2f3 e8b8 b6b7 f4e6 h7d7 e6d4 d7d4,A13,1,15 25 11 25 35 36 29 35 1 6 -4 9 -40 -39 -38 -36 -46 -12 -22 -12 -17 54 -18 -19 -20 -29 -66 -65 -106 -23 -21 -23 -58 74 75 55 52 126 162 176 114 224 155 153 139 419 290 466 260 256 148 158 36 191 205 ,63.654545454545456,466.0,-106.0,190.0,14154.517024793387,3.5185185185185186,280.0,6.0,0.6181818181818182,572.0
,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6 b1c3 d8c7 f1e2 d7d6 e1g1 b7b6 f2f3 c8b7 c1e3 b8d7 d1d2 f8e7 a2a3 e8g8 f1c1 a8c8 a1b1 c7b8 b2b4 e7d8 a3a4 d7e5 c4c5 d6c5 b4c5 c8c5 d4e6 c5c3 d2c3 f7e6 e3b6 d8b6 b1b6 b8a7 c3e3 e5g6 c1c7 f8b8 a4a5 f6e8 e3c5 e8c7 c5c7 a7a8 e2c4 g6f8 c7e7 b8c8 c4e6 f8e6 e7e6 g8h8 e6d7 b7c6 d7e7 c6b5 e4e5 c8e8 e7d6 a8c8 g1f2 c8c2 f2g3 c2g6 d6g6 h7g6 f3f4 g6g5 g3g4 g5f4 g4f4 e8f8 f4e3 h8g8 b6b7 f8f1 e3d4 f1d1 d4c5 g8f8 e5e6 d1d2 b7f7 f8g8 f7f4 d2g2 c5d6 g2d2 d6e7 d2h2 f4f8 g8h7 f8b8 h2e2 b8b6 g7g5 e7f6 h7h6 e6e7,B41,1,34 38 35 44 43 50 46 48 35 44 52 45 26 86 93 96 58 63 76 79 68 65 65 69 56 53 44 44 46 58 67 63 73 76 62 107 103 123 62 64 -240 127 141 122 149 240 156 329 208 201 182 157 164 266 ,86.31481481481481,329.0,-240.0,232.0,6055.9564471879285,4.377358490566038,367.0,2.0,0.9814814814814815,569.0
,g1f3 b7b6 g2g3 c8b7 f1g2 g8f6 e1g1 h7h5 d2d4 h5h4 f3h4 b7g2 g1g2 d7d5 c2c4 d8d7 b1c3 h8h4 g3h4 d7g4 g2h1 d5c4 e2e4 g4h4 f2f3 e7e6 d1a4 b8d7 a4c6 e8c8 c3b5 f6e8 c1e3 c8b8 a2a4 f8d6 e4e5,A04,1,13 63 21 23 32 30 35 113 100 162 161 163 174 174 132 184 94 224 ,105.44444444444444,224.0,13.0,211.0,4470.58024691358,12.411764705882353,130.0,0.0,1.0,211.0
,e2e4 c7c6 g1f3 d7d5 d2d3 g7g6 e4e5 f8g7 d3d4 g8h6 h2h3 e8g8 c1f4 f7f6 d1d2 h6f7 e5f6 e7f6 f1e2 f7d6 b1c3 d6e4 d2e3 f8e8 c3e4 e8e4 e3d2 d8e7 e1f1 b7b6 a1e1 c8a6 e2a6 b8a6 g2g3 a8e8 f1g2 e7b4 c2c3 b4b5 e1e4 d5e4 f3e1 b5d5 f4e3 d5a2 h3h4 a6c7 d2c2 c7d5 h4h5 a2c4 c2d2 d5e3 d2e3 c4d5 e1c2 a7a5 h5g6 h7g6 g2g1 g8f7 e3e2 d5b5 e2b5 c6b5 g1g2 f6f5 c2e3 b5b4 e3d5 b4c3 b2c3 e8c8 h1b1 c8c6 b1b6 c6b6 d5b6 f7e6 g2f1 g7f6 f1e2 f6d8 b6c4 a5a4 e2d2 d8e7 d2c2 g6g5 c4e3 f5f4 g3f4 g5f4 e3g2 e6f5 c3c4 f5g4 g2e1 e7h4 d4d5 h4f2 c2d1 f2c5 e1c2 g4f3 d1d2 e4e3 d2d3 a4a3,B10,-1,26 69 43 34 1 32 31 28 28 48 43 44 24 46 16 38 -28 -28 -36 -1 9 13 11 14 16 43 44 51 43 44 -3 -6 -9 -9 -6 -7 -5 33 39 99 6 7 -15 35 -102 -63 -112 -108 -164 -147 -169 -136 -169 -88 -94 ,-8.127272727272727,99.0,-169.0,-120.0,4113.638347107438,-2.2222222222222223,81.0,7.0,0.5818181818181818,268.0
,e2e4 c7c5 g1e2 d7d6 b1c3 g8f6 e2f4 b8c6 f1c4 e7e6 d2d3 f8e7 a2a4 e8g8 e1g1 a7a6 f1e1 d8c7 h2h3 b7b6 f4h5 c6e5 c4a2 c8b7 f2f4 e5c6 f4f5 c6d4 h5f6 e7f6 c3b1 e6f5 c2c3 d4c6 e4f5 f8e8 c1f4 f6e5 f4d2 c7e7 b1a3 e7h4 d1g4 h4g4 h3g4 c6a5 g4g5 d6d5 a3c2 e5g3 e1e8 a8e8 g1f1 c5c4 d3d4 b7c8 c2b4 c8f5 b4d5 f5d3 f1g1 e8e2 d2f4 g3f2 g1h2 d3e4 d5e7 g8f8 f4d6 f8e8 a2b1 e4b7 d4d5 f2c5 d6c5 b6c5 e7c6 a5c6 d5c6 b7c6 b1h7 g7g6 h2g3 e2g2 g3f4 e8f8 a1d1 f8g7 d1d6 c6a4 d6a6 a4b3 a6a7 g2f2 f4e3 f2f5 h7g6 g7g6 a7c7 f5g5 e3f4 g5f5 f4e4 f7f6 c7c8 f5e5 e4f4 e5e1 c8g8 g6f7 g8c8 e1f1 f4e3 f1e1 e3d2 e1e5 c8c6 f7g6 c6c7 g6f5 c7c8 f5e4 c8f8 f6f5 f8f7 f5f4 f7f8 e5d5 d2e2 f4f3 e2f2 d5d2,B20,-1,37 28 15 44 43 48 -27 -10 -53 -49 -53 -39 -41 -39 -43 -46 -50 -23 -43 -59 -56 -11 -21 -9 -47 -46 -35 80 -42 -37 -94 -122 -137 -125 -149 -70 -159 -81 -163 2 21 2 -7 -5 -14 3 -2 4 -8 43 -54 -40 -128 -94 -133 -70 -193 -204 -209 -185 -221 -221 -189 -174 -189 -150 ,-62.10606060606061,80.0,-221.0,-187.0,5695.973599632691,-2.876923076923077,165.0,11.0,0.19696969696969696,301.0
,d2d4 d7d5 c1f4 e7e6 e2e3 f8d6 d1g4 g8f6 g4g7 h8g8 g7h6 g8g6 h6h4 g6g4 h4h3 d6f4 e3f4 g4f4 g1e2 f4g4 b1c3 c7c5 e1c1 c5c4 f2f3 g4g8 g2g4 b8c6 h3h6 g8g6 h6e3 d8a5 e2f4 b7b5 c3d5 f6d5 f4d5 c8b7 d5f4 a5a2 f4g6 h7g6 c2c3 e8c8 f1g2 c6a5 c1c2 a2a4 c2d2 a5b3 d2e2 b5b4 e2f2 a4a2 d1d2 b4c3 e3c3 b3d2 c3d2 e6e5 d4d5 a2a4 d5d6 a4c6 h1c1 d8d6 d2c3 c6c5 f2g3 d6d4 c1e1 e5e4 f3e4 c5e5 g3h3 d4d3,D00,-1,27 29 20 17 17 35 22 38 39 35 43 73 87 86 90 60 73 73 79 64 28 114 108 147 93 109 151 153 145 190 165 228 202 233 67 58 53 13 ,85.89473684210526,233.0,13.0,-14.0,3657.252077562327,-0.3783783783783784,86.0,0.0,1.0,220.0
,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 f1d3 g8f6 g1f3 c7c5 e1g1 c5d4 f3d4 a7a6 c1g5 f8e7 d4b3 e8g8 d1f3 h7h6 g5h4 d7e5 f3g3 e5d3 e4f6 e7f6 h4f6 d8f6 g3d3 f6b2 a1e1 b2a2 e1e3 a2a3 e3g3 a6a5 d3d4 g7g6 h2h4 h6h5 d4f6 g8h7 b3d4 a3c5 g3g5 e6e5 g5e5 c5c7 e5e7 c7c4 d4f3 a8a6 f6g5 c4g4 g5c5 g4f5 e7e5 f5f6 c5f8 c8g4 f3g5,C10,1,26 37 42 43 46 72 55 55 52 48 43 42 38 57 62 70 17 23 -8 9 -46 16 -103 -97 -104 -108 -117 -118 -124 -123 -119 ,-6.903225806451613,72.0,-124.0,-145.0,5087.119667013529,-4.833333333333333,62.0,5.0,0.6451612903225806,196.0
,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 f1d3 b8c6 c2c3 d8c7 f2f4 g8f6 g1f3 c8g4 e1g1 e7e6 d1e1 g4f3 f1f3 f8e7 a2a4 e8g8 b1a3 a7a6 e1e2 e7d6 c1d2 c6a5 a1f1 d6a3 b2a3 a5c4 d2c1 a8c8 f3h3 c4d6 d3h7 f6h7 e2h5 f7f5 h5h7 g8f7 h3h6 c7e7 h7g6 f7g8 f1f3 f8f6 g6h7 g8f7 f3g3 c8g8 h6g6 f6g6 h7g6 f7f8 c1d2 d6e4 d2e1 e7f7 g6h7 e4g3 e1g3 g7g6 h7h6 f7g7 h6g5 f8e8 g3h4 e8d7 h2h3 g8h8 g1h2 g7h7 h4g3 h8f8 g3e1 h7h5 g5g3 g6g5 g3g5 h5g5 f4g5 f5f4 h3h4 e6e5 d4e5 d7e6 h2h3 e6e5 h3g4 e5e4 h4h5 f4f3 g2f3 f8f3 h5h6 f3f4 g4h5 e4f5 h6h7,B13,1,25 46 39 44 26 14 17 18 12 21 -28 -17 -23 -36 -31 -30 -41 -39 -31 -18 -25 25 -25 -2 -91 -30 -40 -47 -50 -47 -47 -47 -86 -29 0 -23 -35 -34 -29 -29 -26 -44 -83 29 30 23 -78 -77 -91 -88 ,-22.56,46.0,-91.0,-113.0,1374.0064000000002,-2.306122448979592,112.0,7.0,0.28,137.0
,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 c8f5 b1c3 e7e6 c1e3 b8c6 g1f3 d8d7 d4d5 e6d5 c4d5 c6b4 f3d4 b6d5 d4f5 d7f5 c3d5 e8c8 f1c4 b4c2 e1e2 f5g4 e2d3 g4f5 d3c3 c2e3 d5e3 f5e5 c3c2 d8d1 a1d1 f8c5 e3d5 e5f5 c2b3 c7c6 d5c3 b7b5 c4d3 f5g5 c3e4 g5d5 b3c2 c5b6 c2b1 c8c7 h1f1 f7f6 d3c2 d5h5 h2h3 h8d8 d1d8 c7d8 f1d1 d8c7 a2a3 h5e2 d1d2 e2f1 b1a2 b6e3 d2d3 e3b6 g2g4 a7a5 e4d6 b6c5 d6e8 c7b6 e8g7 f1e2 d3c3 c5d4 c2d3 e2d2 c3b3 a5a4 b3b4 d2d3 g7f5 c6c5 f5d4 c5b4 d4c2 b4b3,B03,-1,24 120 122 59 53 50 58 58 76 74 71 73 66 67 39 44 47 85 -19 -15 -26 -20 -57 -60 -238 -321 -344 -320 -397 -239 -304 -258 -363 -350 -478 -498 -496 -496 -489 -484 -484 -442 -447 -441 -423 -412 -413 -386 ,-177.79166666666666,122.0,-498.0,-410.0,52550.3732638889,-8.72340425531915,158.0,1.0,0.375,620.0
