id,moves,opening_eco,winner,evaluations,considered_evaluation,avg_eval,max_eval,min_eval,eval_diff,eval_variance,avg_rate_change,max_rate_change,sign_changes,white_advantage_time,eval_range
,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 g8f6 b1c3 d7d6 f1e2 c6d4 d1d4 f8g7 c1g5 e8g8 d4d2 a7a5 e1g1 a5a4 f1d1 d8a5 a1c1 c8e6 f2f3 f8c8 c3b5 a5d2 d1d2 h7h6 g5e3 f6d7 b5d4 d7c5 d4e6 c5e6 h2h4 b7b5 f3f4 b5b4 h4h5 e6c5 e2f3 a8b8 h5g6 f7g6 e4e5 d6e5 f4e5 g7e5 d2d5 e5d6 e3h6 b4b3 a2a3 c5d7 f3g4 c8c7 g1f2 d7f6 g4e6 g8h7 c1h1 f6h5 h6e3 b8f8 f2e1 d6g3 e1e2 h7g7 e3d4 g7h6 h1h3 c7c4 d5h5 g6h5 e6c4 g3f4 g2g4 h6g5 g4h5 e7e5 d4e3 g5g4 c4e6 g4g5 h5h6 f4e3 e2e3 g5f6 h6h7 f8h8 e6d5 f6e7 e3e4 e7d6 h3h6 d6c5 e4e5 c5b5 d5g8 b5a5 e5f6,B36,1,35 25 38 39 38 27 38 33 34 52 51 61 35 38 43 45 31 31 29 50 33 50 15 29 9 13 -10 -8 -12 -5 -13 -12 -5 -4 -12 -14 -12 -11 -35 -32 -32 -30 -46 -32 -48 -13 1 0 -21 -24 -31 6 -75 47 52 50 51 76 64 55 47 32 14 23 24 21 19 19 9 77 56 216 215 289 163 435 449 407 424 470 445 448 482 484 489 575 560 555 574 577 584 843 618 685 661 704 704 709 710 744 739 765 804 None 752 ,65.0,14.261538461538462,76.0,-75.0,-11.0,1067.0239053254438,-0.171875,122.0,7.0,0.6153846153846154,151.0
,c2c4 g8f6 g2g3 e7e6 g1f3 d7d5 f1g2 f8e7 b2b3 d5d4 c1b2 c7c5 e2e3 b8c6 e3d4 c5d4 e1g1 e8g8 f1e1 f8e8 d2d3 e7d6 b2a3 e6e5 a3d6 d8d6 b1d2 c8f5 g2f1 c6b4 d1b1 a7a5 f3g5 d6c6 a2a3 b4a6 b3b4 a6c7 f1g2 c6b6 g5e4 a5b4 b1b4 b6b4 a3b4 c7a6 e4d6 f5d3 d6e8 a8e8 b4b5 a6c5 b5b6 e5e4 a1a5 f6d7 a5b5 f7f5 g2f1 d3c2 e1a1 e4e3 f2e3 d4e3 d2f3 e3e2 f1h3 c2e4 f3e1 d7e5 b5c5 g7g5 h3g2 e4d3 g2d5 g8g7 d5b7 d3c4 b7g2 f5f4 a1a7 g7f6 g3f4 g5f4 a7h7 e5d3 c5c6 f6f5 c6c4 d3e1 g2e4 f5g5 g1f2 f4f3 c4c1 e1g2 e4f3 e2e1q c1e1 g2e1 f3c6 e1d3 f2g2 d3f4 g2f3 e8b8 b6b7 f4e6 h7d7 e6d4 d7d4,A13,1,13 20 14 29 31 30 32 33 -5 13 -10 17 -42 -39 -20 -29 -65 -32 -15 -16 -11 65 -5 -5 -16 -32 -75 -81 -99 -26 -19 -16 -93 58 68 52 43 132 130 164 116 236 128 160 152 425 320 425 264 272 155 152 62 119 121 196 -81 -77 -156 -168 -184 34 42 49 45 50 -54 3 -4 349 352 372 394 583 494 468 493 498 497 515 468 484 522 524 443 633 635 None 536 572 572 615 638 703 448 478 485 484 463 468 258 296 236 335 345 397 349 342 320 577 607 ,65.0,46.15384615384615,425.0,-184.0,32.0,14697.48402366864,0.5,273.0,10.0,0.5846153846153846,609.0
,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6 b1c3 d8c7 f1e2 d7d6 e1g1 b7b6 f2f3 c8b7 c1e3 b8d7 d1d2 f8e7 a2a3 e8g8 f1c1 a8c8 a1b1 c7b8 b2b4 e7d8 a3a4 d7e5 c4c5 d6c5 b4c5 c8c5 d4e6 c5c3 d2c3 f7e6 e3b6 d8b6 b1b6 b8a7 c3e3 e5g6 c1c7 f8b8 a4a5 f6e8 e3c5 e8c7 c5c7 a7a8 e2c4 g6f8 c7e7 b8c8 c4e6 f8e6 e7e6 g8h8 e6d7 b7c6 d7e7 c6b5 e4e5 c8e8 e7d6 a8c8 g1f2 c8c2 f2g3 c2g6 d6g6 h7g6 f3f4 g6g5 g3g4 g5f4 g4f4 e8f8 f4e3 h8g8 b6b7 f8f1 e3d4 f1d1 d4c5 g8f8 e5e6 d1d2 b7f7 f8g8 f7f4 d2g2 c5d6 g2d2 d6e7 d2h2 f4f8 g8h7 f8b8 h2e2 b8b6 g7g5 e7f6 h7h6 e6e7,B41,1,25 19 32 36 36 37 44 41 43 47 45 46 49 93 91 94 91 92 84 85 76 66 70 72 53 50 44 47 42 59 57 59 60 46 67 104 106 74 47 51 -240 112 110 130 120 237 161 350 205 207 163 180 184 311 168 154 -220 499 -105 -89 -83 -103 -135 -136 -129 -142 -318 -291 -333 -348 -369 -385 -451 -103 -110 -115 -133 -62 -157 -171 -151 -154 -148 -123 -226 -216 -235 -176 -178 -161 -141 -153 -154 -150 -223 -207 -249 -268 -268 -262 -262 -278 -287 -300 -314 -327 -382 -14 -268 ,65.0,68.16923076923077,499.0,-240.0,-154.0,13704.78674556213,-2.40625,719.0,5.0,0.8615384615384616,739.0
,g1f3 b7b6 g2g3 c8b7 f1g2 g8f6 e1g1 h7h5 d2d4 h5h4 f3h4 b7g2 g1g2 d7d5 c2c4 d8d7 b1c3 h8h4 g3h4 d7g4 g2h1 d5c4 e2e4 g4h4 f2f3 e7e6 d1a4 b8d7 a4c6 e8c8 c3b5 f6e8 c1e3 c8b8 a2a4 f8d6 e4e5,A04,1,27 66 35 33 31 33 36 100 100 138 161 165 154 158 125 193 81 252 232 307 299 334 244 237 214 264 217 301 295 244 249 250 245 267 294 326 322 ,37.0,189.97297297297297,334.0,27.0,295.0,9619.53981008035,8.194444444444445,171.0,0.0,1.0,307.0
,e2e4 c7c6 g1f3 d7d5 d2d3 g7g6 e4e5 f8g7 d3d4 g8h6 h2h3 e8g8 c1f4 f7f6 d1d2 h6f7 e5f6 e7f6 f1e2 f7d6 b1c3 d6e4 d2e3 f8e8 c3e4 e8e4 e3d2 d8e7 e1f1 b7b6 a1e1 c8a6 e2a6 b8a6 g2g3 a8e8 f1g2 e7b4 c2c3 b4b5 e1e4 d5e4 f3e1 b5d5 f4e3 d5a2 h3h4 a6c7 d2c2 c7d5 h4h5 a2c4 c2d2 d5e3 d2e3 c4d5 e1c2 a7a5 h5g6 h7g6 g2g1 g8f7 e3e2 d5b5 e2b5 c6b5 g1g2 f6f5 c2e3 b5b4 e3d5 b4c3 b2c3 e8c8 h1b1 c8c6 b1b6 c6b6 d5b6 f7e6 g2f1 g7f6 f1e2 f6d8 b6c4 a5a4 e2d2 d8e7 d2c2 g6g5 c4e3 f5f4 g3f4 g5f4 e3g2 e6f5 c3c4 f5g4 g2e1 e7h4 d4d5 h4f2 c2d1 f2c5 e1c2 g4f3 d1d2 e4e3 d2d3 a4a3,B10,-1,34 44 30 35 23 30 28 32 27 55 43 48 4 5 12 47 -38 -34 -35 -5 -1 5 14 22 17 36 44 48 48 48 -6 -7 -8 -7 -10 -8 -9 33 30 72 -7 -1 -1 45 -79 -59 -120 -122 -158 -165 -176 -131 -164 -96 -98 -82 -70 -52 -55 -49 -108 -28 -145 -138 -134 -131 -134 -146 -150 -123 -197 -154 -210 -108 -110 -94 -120 -95 -90 -93 -120 -143 -130 -125 -194 -182 -171 -93 -107 -108 -268 -269 -270 -305 -386 -335 -331 -210 -437 -301 -524 -563 -587 -629 -599 -574 -588 -570 -579 -609 ,65.0,-22.26153846153846,72.0,-176.0,-168.0,4407.670059171597,-2.625,80.0,7.0,0.4461538461538462,248.0
,e2e4 c7c5 g1e2 d7d6 b1c3 g8f6 e2f4 b8c6 f1c4 e7e6 d2d3 f8e7 a2a4 e8g8 e1g1 a7a6 f1e1 d8c7 h2h3 b7b6 f4h5 c6e5 c4a2 c8b7 f2f4 e5c6 f4f5 c6d4 h5f6 e7f6 c3b1 e6f5 c2c3 d4c6 e4f5 f8e8 c1f4 f6e5 f4d2 c7e7 b1a3 e7h4 d1g4 h4g4 h3g4 c6a5 g4g5 d6d5 a3c2 e5g3 e1e8 a8e8 g1f1 c5c4 d3d4 b7c8 c2b4 c8f5 b4d5 f5d3 f1g1 e8e2 d2f4 g3f2 g1h2 d3e4 d5e7 g8f8 f4d6 f8e8 a2b1 e4b7 d4d5 f2c5 d6c5 b6c5 e7c6 a5c6 d5c6 b7c6 b1h7 g7g6 h2g3 e2g2 g3f4 e8f8 a1d1 f8g7 d1d6 c6a4 d6a6 a4b3 a6a7 g2f2 f4e3 f2f5 h7g6 g7g6 a7c7 f5g5 e3f4 g5f5 f4e4 f7f6 c7c8 f5e5 e4f4 e5e1 c8g8 g6f7 g8c8 e1f1 f4e3 f1e1 e3d2 e1e5 c8c6 f7g6 c6c7 g6f5 c7c8 f5e4 c8f8 f6f5 f8f7 f5f4 f7f8 e5d5 d2e2 f4f3 e2f2 d5d2,B20,-1,31 32 26 31 37 43 -35 -25 -53 -54 -62 -35 -42 -42 -40 -41 -45 -21 -44 -56 -50 -8 -23 -19 -45 -45 -51 82 -42 -52 -138 -128 -125 -132 -187 -110 -155 -89 -152 18 4 10 -2 0 0 8 9 7 -20 51 -43 -25 -136 -123 -138 -77 -202 -187 -193 -182 -209 -195 -181 -191 -190 -144 -223 -230 -261 -284 -393 -144 -374 -243 -379 -384 -340 -342 -343 -361 -386 -391 -417 -442 -430 -393 -401 -393 -381 -414 -443 -329 -470 -471 -486 -484 -490 -487 -507 -468 -468 -472 -502 -456 -457 -451 -443 -445 -451 -453 -461 -448 -452 -461 -532 -532 -538 -538 -552 -521 -564 -575 -605 -592 None -503 None -582 -595 -602 -606 -625 ,65.0,-62.323076923076925,82.0,-209.0,-221.0,5710.126390532544,-3.453125,170.0,10.0,0.2153846153846154,291.0
,d2d4 d7d5 c1f4 e7e6 e2e3 f8d6 d1g4 g8f6 g4g7 h8g8 g7h6 g8g6 h6h4 g6g4 h4h3 d6f4 e3f4 g4f4 g1e2 f4g4 b1c3 c7c5 e1c1 c5c4 f2f3 g4g8 g2g4 b8c6 h3h6 g8g6 h6e3 d8a5 e2f4 b7b5 c3d5 f6d5 f4d5 c8b7 d5f4 a5a2 f4g6 h7g6 c2c3 e8c8 f1g2 c6a5 c1c2 a2a4 c2d2 a5b3 d2e2 b5b4 e2f2 a4a2 d1d2 b4c3 e3c3 b3d2 c3d2 e6e5 d4d5 a2a4 d5d6 a4c6 h1c1 d8d6 d2c3 c6c5 f2g3 d6d4 c1e1 e5e4 f3e4 c5e5 g3h3 d4d3,D00,-1,15 24 21 23 25 18 18 43 35 48 54 42 53 45 56 48 47 39 39 70 39 103 76 129 105 124 121 127 102 178 172 233 236 230 53 41 27 31 31 22 38 119 -88 -44 -208 -173 -156 79 86 175 158 162 148 239 -91 -72 -58 -57 -75 -55 -190 16 -6 2 -35 -42 -77 -63 -87 -84 -282 -304 -600 -97 -638 -659 ,65.0,43.95384615384615,239.0,-208.0,-50.0,9315.520946745564,-0.78125,235.0,7.0,0.7846153846153846,447.0
,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 f1d3 g8f6 g1f3 c7c5 e1g1 c5d4 f3d4 a7a6 c1g5 f8e7 d4b3 e8g8 d1f3 h7h6 g5h4 d7e5 f3g3 e5d3 e4f6 e7f6 h4f6 d8f6 g3d3 f6b2 a1e1 b2a2 e1e3 a2a3 e3g3 a6a5 d3d4 g7g6 h2h4 h6h5 d4f6 g8h7 b3d4 a3c5 g3g5 e6e5 g5e5 c5c7 e5e7 c7c4 d4f3 a8a6 f6g5 c4g4 g5c5 g4f5 e7e5 f5f6 c5f8 c8g4 f3g5,C10,1,33 39 33 36 36 58 54 62 55 54 51 49 42 55 58 88 22 19 2 13 -63 1 -103 -104 -118 -114 -107 -109 -102 -106 -118 -110 -218 -230 -230 -216 -208 -136 -175 28 -162 36 0 161 6 52 0 0 -18 15 -16 96 -21 -18 -55 -8 -5 463 456 762 788 None None ,63.0,13.98360655737705,788.0,-230.0,755.0,35127.81940338619,12.583333333333334,468.0,15.0,0.5245901639344263,1018.0
,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 f1d3 b8c6 c2c3 d8c7 f2f4 g8f6 g1f3 c8g4 e1g1 e7e6 d1e1 g4f3 f1f3 f8e7 a2a4 e8g8 b1a3 a7a6 e1e2 e7d6 c1d2 c6a5 a1f1 d6a3 b2a3 a5c4 d2c1 a8c8 f3h3 c4d6 d3h7 f6h7 e2h5 f7f5 h5h7 g8f7 h3h6 c7e7 h7g6 f7g8 f1f3 f8f6 g6h7 g8f7 f3g3 c8g8 h6g6 f6g6 h7g6 f7f8 c1d2 d6e4 d2e1 e7f7 g6h7 e4g3 e1g3 g7g6 h7h6 f7g7 h6g5 f8e8 g3h4 e8d7 h2h3 g8h8 g1h2 g7h7 h4g3 h8f8 g3e1 h7h5 g5g3 g6g5 g3g5 h5g5 f4g5 f5f4 h3h4 e6e5 d4e5 d7e6 h2h3 e6e5 h3g4 e5e4 h4h5 f4f3 g2f3 f8f3 h5h6 f3f4 g4h5 e4f5 h6h7,B13,1,29 52 49 44 22 24 29 30 29 29 -27 -11 -26 -50 -50 -50 -34 -36 -32 -13 -23 9 -32 -20 -89 -40 -50 -52 -49 -57 -56 -43 -75 -46 0 0 0 0 0 -3 -17 -41 -54 16 21 35 -63 -75 -69 -68 -57 -52 -130 -134 -134 -140 -269 -245 -316 -69 -278 -247 -274 -188 -198 -174 -195 -193 -188 -184 -203 -162 -162 -164 -164 -164 -173 -198 -150 -89 -87 17 46 45 47 0 0 0 0 286 333 406 403 430 433 468 435 490 508 765 796 ,65.0,-56.36923076923077,52.0,-316.0,-227.0,7426.38674556213,-3.546875,247.0,7.0,0.2153846153846154,368.0
,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 c8f5 b1c3 e7e6 c1e3 b8c6 g1f3 d8d7 d4d5 e6d5 c4d5 c6b4 f3d4 b6d5 d4f5 d7f5 c3d5 e8c8 f1c4 b4c2 e1e2 f5g4 e2d3 g4f5 d3c3 c2e3 d5e3 f5e5 c3c2 d8d1 a1d1 f8c5 e3d5 e5f5 c2b3 c7c6 d5c3 b7b5 c4d3 f5g5 c3e4 g5d5 b3c2 c5b6 c2b1 c8c7 h1f1 f7f6 d3c2 d5h5 h2h3 h8d8 d1d8 c7d8 f1d1 d8c7 a2a3 h5e2 d1d2 e2f1 b1a2 b6e3 d2d3 e3b6 g2g4 a7a5 e4d6 b6c5 d6e8 c7b6 e8g7 f1e2 d3c3 c5d4 c2d3 e2d2 c3b3 a5a4 b3b4 d2d3 g7f5 c6c5 f5d4 c5b4 d4c2 b4b3,B03,-1,31 66 65 65 60 62 58 74 72 61 78 69 62 63 47 67 83 86 19 17 -37 -1 -74 -45 -247 -318 -315 -316 -393 -301 -246 -249 -332 -258 -497 -522 -545 -543 -544 -529 -552 -452 -450 -412 -439 -399 -410 -389 -387 -340 -420 -403 -406 -399 -398 -377 -375 -342 -363 -371 -390 -415 -418 -417 -433 -416 -455 -431 -463 -455 -487 -485 -497 -468 -463 -454 -463 -399 -387 -395 -398 -392 -447 -451 -605 -663 -667 -689 -703 -702 -763 -801 -845 -838 None None ,65.0,-234.83076923076922,86.0,-552.0,-464.0,50232.97136094675,-7.25,100.0,1.0,0.3076923076923077,638.0
