id,moves,opening_eco,winner,evaluations,avg_eval,max_eval,min_eval,eval_diff,eval_variance,avg_rate_change,max_rate_change,sign_changes,white_advantage_time,eval_range
,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 g8f6 b1c3 d7d6 f1e2 c6d4 d1d4 f8g7 c1g5 e8g8 d4d2 a7a5 e1g1 a5a4 f1d1 d8a5 a1c1 c8e6 f2f3 f8c8 c3b5 a5d2 d1d2 h7h6 g5e3 f6d7 b5d4 d7c5 d4e6 c5e6 h2h4 b7b5 f3f4 b5b4 h4h5 e6c5 e2f3 a8b8 h5g6 f7g6 e4e5 d6e5 f4e5 g7e5 d2d5 e5d6 e3h6 b4b3 a2a3 c5d7 f3g4 c8c7 g1f2 d7f6 g4e6 g8h7 c1h1 f6h5 h6e3 b8f8 f2e1 d6g3 e1e2 h7g7 e3d4 g7h6 h1h3 c7c4 d5h5 g6h5 e6c4 g3f4 g2g4 h6g5 g4h5 e7e5 d4e3 g5g4 c4e6 g4g5 h5h6 f4e3 e2e3 g5f6 h6h7 f8h8 e6d5 f6e7 e3e4 e7d6 h3h6 d6c5 e4e5 c5b5 d5g8 b5a5 e5f6,B36,1.0,35 28 37 37 34 33 35 41 46 52 47 47 43 31 34 34 35 31 30 36 37 36 14 11 16 12 -12 -8 -10 -9 -10 0 -9 -11 -10 -5 -17 -9 -31 -34 -32 -34 -63 -31 -19 -1 0 -12 -24 -30 -33 -7 -33 65 67 60 60 100 40 42 26 18 26 12 9 5 6 7 -49 76 70 229 181 288 144 425 419 432 417 466 455 454 420 497 475 572 588 599 602 625 636 809 638 678 688 699 701 737 737 769 813 819 865 968 865 ,197.40952380952382,968.0,-63.0,830.0,83721.23229024942,7.980769230769231,281.0,8.0,0.7333333333333333,1031.0
,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6 b1c3 d8c7 f1e2 d7d6 e1g1 b7b6 f2f3 c8b7 c1e3 b8d7 d1d2 f8e7 a2a3 e8g8 f1c1 a8c8 a1b1 c7b8 b2b4 e7d8 a3a4 d7e5 c4c5 d6c5 b4c5 c8c5 d4e6 c5c3 d2c3 f7e6 e3b6 d8b6 b1b6 b8a7 c3e3 e5g6 c1c7 f8b8 a4a5 f6e8 e3c5 e8c7 c5c7 a7a8 e2c4 g6f8 c7e7 b8c8 c4e6 f8e6 e7e6 g8h8 e6d7 b7c6 d7e7 c6b5 e4e5 c8e8 e7d6 a8c8 g1f2 c8c2 f2g3 c2g6 d6g6 h7g6 f3f4 g6g5 g3g4 g5f4 g4f4 e8f8 f4e3 h8g8 b6b7 f8f1 e3d4 f1d1 d4c5 g8f8 e5e6 d1d2 b7f7 f8g8 f7f4 d2g2 c5d6 g2d2 d6e7 d2h2 f4f8 g8h7 f8b8 h2e2 b8b6 g7g5 e7f6 h7h6 e6e7,B41,1.0,33 35 35 43 42 41 41 53 39 44 42 44 50 95 104 106 64 64 66 93 63 67 62 66 48 47 40 46 40 56 52 63 15 79 72 145 101 112 52 52 -208 135 142 148 134 229 165 366 215 204 171 186 194 256 160 136 -217 477 -101 -75 -101 -107 -130 -147 -149 -161 -333 -276 -306 -294 -336 -407 -476 -103 -104 -110 -110 -54 -142 -149 -141 -142 -143 -113 -220 -226 -223 -185 -183 -162 -157 -149 -154 -158 -223 -229 -282 -256 -281 -234 -223 -269 -297 -275 -328 -360 -348 -32 -226 ,-46.65137614678899,477.0,-476.0,-259.0,31379.272956821816,-2.3981481481481484,694.0,5.0,0.5137614678899083,953.0
,g1f3 b7b6 g2g3 c8b7 f1g2 g8f6 e1g1 h7h5 d2d4 h5h4 f3h4 b7g2 g1g2 d7d5 c2c4 d8d7 b1c3 h8h4 g3h4 d7g4 g2h1 d5c4 e2e4 g4h4 f2f3 e7e6 d1a4 b8d7 a4c6 e8c8 c3b5 f6e8 c1e3 c8b8 a2a4 f8d6 e4e5,A04,1.0,19 56 39 36 32 28 29 93 92 144 148 142 181 177 132 194 82 243 229 311 313 328 255 234 221 235 249 236 248 256 257 243 249 300 289 295 319 ,187.40540540540542,328.0,19.0,300.0,9379.43024105186,8.333333333333334,161.0,0.0,1.0,309.0
,e2e4 c7c6 g1f3 d7d5 d2d3 g7g6 e4e5 f8g7 d3d4 g8h6 h2h3 e8g8 c1f4 f7f6 d1d2 h6f7 e5f6 e7f6 f1e2 f7d6 b1c3 d6e4 d2e3 f8e8 c3e4 e8e4 e3d2 d8e7 e1f1 b7b6 a1e1 c8a6 e2a6 b8a6 g2g3 a8e8 f1g2 e7b4 c2c3 b4b5 e1e4 d5e4 f3e1 b5d5 f4e3 d5a2 h3h4 a6c7 d2c2 c7d5 h4h5 a2c4 c2d2 d5e3 d2e3 c4d5 e1c2 a7a5 h5g6 h7g6 g2g1 g8f7 e3e2 d5b5 e2b5 c6b5 g1g2 f6f5 c2e3 b5b4 e3d5 b4c3 b2c3 e8c8 h1b1 c8c6 b1b6 c6b6 d5b6 f7e6 g2f1 g7f6 f1e2 f6d8 b6c4 a5a4 e2d2 d8e7 d2c2 g6g5 c4e3 f5f4 g3f4 g5f4 e3g2 e6f5 c3c4 f5g4 g2e1 e7h4 d4d5 h4f2 c2d1 f2c5 e1c2 g4f3 d1d2 e4e3 d2d3 a4a3,B10,-1.0,29 77 39 33 11 30 32 30 28 53 53 50 23 45 29 45 -27 -28 -33 8 20 20 23 18 23 52 43 78 76 48 -19 -8 -3 -4 -2 0 -2 45 45 76 -2 8 -5 49 -81 -71 -140 -142 -167 -167 -165 -134 -175 -99 -90 -63 -67 -68 -64 -72 -105 -45 -82 -44 -140 -131 -135 -149 -151 -136 -206 -176 -205 -96 -101 -77 -90 -89 -97 -97 -120 -136 -136 -146 -200 -214 -175 -146 -96 -69 -235 -250 -265 -322 -399 -351 -371 -202 -391 -354 -482 -563 -593 -619 -654 -570 -609 -567 -597 -626 ,-122.44545454545455,78.0,-654.0,-655.0,33502.50157024793,-6.009174311926605,169.0,11.0,0.2909090909090909,732.0
,d2d4 d7d5 c1f4 e7e6 e2e3 f8d6 d1g4 g8f6 g4g7 h8g8 g7h6 g8g6 h6h4 g6g4 h4h3 d6f4 e3f4 g4f4 g1e2 f4g4 b1c3 c7c5 e1c1 c5c4 f2f3 g4g8 g2g4 b8c6 h3h6 g8g6 h6e3 d8a5 e2f4 b7b5 c3d5 f6d5 f4d5 c8b7 d5f4 a5a2 f4g6 h7g6 c2c3 e8c8 f1g2 c6a5 c1c2 a2a4 c2d2 a5b3 d2e2 b5b4 e2f2 a4a2 d1d2 b4c3 e3c3 b3d2 c3d2 e6e5 d4d5 a2a4 d5d6 a4c6 h1c1 d8d6 d2c3 c6c5 f2g3 d6d4 c1e1 e5e4 f3e4 c5e5 g3h3 d4d3,D00,-1.0,27 26 17 15 17 22 19 41 44 55 44 55 83 86 82 82 82 82 82 77 33 102 105 116 141 141 156 150 140 175 186 239 215 209 62 31 33 30 -12 22 43 150 -176 -27 -189 -179 -166 74 46 154 195 160 205 246 -122 -63 -56 -53 -50 -45 -195 6 30 33 -39 -31 -101 -72 -78 -85 -276 -289 -639 -111 -668 -649 ,3.8815789473684212,246.0,-668.0,-676.0,30609.814923822716,-9.013333333333334,528.0,7.0,0.6710526315789473,914.0
,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 f1d3 b8c6 c2c3 d8c7 f2f4 g8f6 g1f3 c8g4 e1g1 e7e6 d1e1 g4f3 f1f3 f8e7 a2a4 e8g8 b1a3 a7a6 e1e2 e7d6 c1d2 c6a5 a1f1 d6a3 b2a3 a5c4 d2c1 a8c8 f3h3 c4d6 d3h7 f6h7 e2h5 f7f5 h5h7 g8f7 h3h6 c7e7 h7g6 f7g8 f1f3 f8f6 g6h7 g8f7 f3g3 c8g8 h6g6 f6g6 h7g6 f7f8 c1d2 d6e4 d2e1 e7f7 g6h7 e4g3 e1g3 g7g6 h7h6 f7g7 h6g5 f8e8 g3h4 e8d7 h2h3 g8h8 g1h2 g7h7 h4g3 h8f8 g3e1 h7h5 g5g3 g6g5 g3g5 h5g5 f4g5 f5f4 h3h4 e6e5 d4e5 d7e6 h2h3 e6e5 h3g4 e5e4 h4h5 f4f3 g2f3 f8f3 h5h6 f3f4 g4h5 e4f5 h6h7,B13,1.0,27 50 41 53 20 18 18 19 16 21 -21 -20 -48 -45 -55 -53 -39 -32 -37 -22 -20 5 -26 -17 -83 -32 -45 -53 -63 -62 -52 -51 -65 0 0 -11 -15 0 -5 -45 -44 -45 -80 26 19 27 -88 -90 -85 -92 -74 -52 -147 -149 -153 -146 -255 -250 -321 -123 -255 -236 -254 -196 -210 -182 -184 -160 -165 -154 -208 -151 -210 -180 -195 -199 -199 -192 -188 -84 -72 34 38 47 32 26 27 28 28 273 303 396 416 422 426 433 416 448 490 667 679 ,-10.851485148514852,679.0,-321.0,652.0,37234.14626017057,6.52,245.0,10.0,0.33663366336633666,1000.0
,e2e4 c7c5 g1f3 e7e6 c2c4 b8c6 b1c3 g8f6 d2d3 d7d5 f1e2 d5d4 c3b1 e6e5 e1g1 f8e7 c1g5 e8g8 b1d2 a8b8 b2b3 a7a6 h2h3 f6h5 g5e7 d8e7 f3d4 h5f4 d4c6 b7c6 e2g4 f4d3 g4c8 b8c8 g2g3 c8d8 d1e2 d8d6 d2f3 f8d8 a1d1 a6a5 g1h2 g7g6 d1d2 f7f6 f1d1 e7d7 e2e3 a5a4 b3a4 g6g5 f3g1 f6f5 g1f3 f5f4 e3e2 h7h6 g3g4 g8g7 h2h1 d3c1 d2d6 c1e2 d6d7,B40,1.0,25 23 36 47 15 9 -4 16 -41 -42 -129 -126 -126 -126 -133 -119 -145 -117 -150 -92 -131 -88 -110 -4 -73 18 -49 -34 -15 -20 -63 21 22 10 5 4 8 -12 -15 -19 -17 97 -13 87 74 80 75 215 248 283 315 369 228 253 310 362 343 407 251 345 191 463 549 740 734 ,81.0,740.0,-150.0,709.0,41567.81538461539,11.078125,272.0,10.0,0.5692307692307692,890.0
,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 h2h3 e8g8 c1e3 e7e5 d4d5 c7c6 g1f3 c6d5 c4d5 b8a6 f1e2 a6c5 f3d2 a7a6 b2b4 c5d7 e1g1 g8h8 a2a4 f6g8 d2c4 d8e7 a4a5 f7f5 f2f3 g7h6 e3h6 g8h6 d1d2 h6f7 c3a4 a8b8 a4b6 d7b6 c4b6 f5f4 a1c1 f7g5 g1h2 g5f7 d2e1 e7g5 c1c7 g5h6 e1f2 f7g5 b6c8 b8c8 f1c1 c8c7 c1c7 f8f7 c7c8 f7f8 c8f8 h6f8 f2b6 f8e7 b4b5 a6b5 e2b5 g5f7 h2h1 h8g7 b6a7 e7c7 a5a6 c7c1 h1h2 c1e1 a6b7 e1g3 h2h1 g3e1 a7g1,E71,1.0,21 19 20 26 30 56 50 54 57 49 64 75 68 70 79 90 99 101 65 103 104 149 137 133 134 175 179 220 217 220 190 189 171 164 153 155 139 145 85 137 123 195 178 216 224 220 225 239 184 267 306 308 305 317 256 269 200 242 250 267 243 266 170 166 188 171 126 203 162 125 103 72 0 201 153 225 227 526 530 563 579 597 614 ,185.4578313253012,614.0,0.0,593.0,17305.308462766727,7.2317073170731705,299.0,2.0,0.9879518072289156,614.0
,d2d4 g8f6 c1g5 c7c5 g5f6 g7f6 d4d5 d7d6 c2c3 e7e5 d5e6 f7e6 g2g3 b8c6 f1g2 f8g7 g1f3 e8g8 b1d2 d8e7 e1g1 d6d5 e2e4 d5d4 c3d4 c5d4 e4e5 f6e5 d2e4 c8d7 a1c1 g7h6 c1c5 b7b6 c5c6 d7c6 f3e5 c6d5 d1d4 h6g7 f2f4 a8d8 d4e3 g7e5 f4e5 f8f1 g2f1 d5e4 e3e4 e7c5 g1g2 c5d5,A45,-1.0,24 24 5 26 5 12 36 39 32 36 -45 20 -42 2 -52 5 -102 -30 -68 3 -4 -1 5 -3 -7 14 4 25 -39 -18 -23 -15 -6 0 -146 -142 -148 -150 -218 -218 -231 -228 -361 -353 -330 -250 -433 -423 -422 -421 -418 -416 ,-104.73076923076923,39.0,-433.0,-440.0,23949.15828402367,-8.627450980392156,80.0,15.0,0.34615384615384615,472.0
,e2e4 c7c5 b1c3 b8c6 g2g3 e7e6 f1g2 g8e7 g1e2 d7d5 e4d5 e6d5 d2d4 c5c4 e1g1 g7g6 c1g5 f8g7 e2f4 c8e6 f1e1 d8d7 g5e7 c6e7 c3d5 e7d5 g2d5 e8c8 e1e6 d7d5 f4d5 f7e6 d5f4 g7d4 d1g4 d4b2 g4e6 c8b8 a1b1 c4c3 e6e5 b8a8 f4e6,B24,1.0,33 17 12 26 -8 -1 0 39 38 48 47 99 115 228 229 284 288 298 -78 379 395 371 373 389 400 388 413 471 242 511 540 569 564 574 560 553 550 515 553 628 642 637 665 ,316.1860465116279,665.0,-78.0,632.0,52502.98864250947,15.047619047619047,457.0,5.0,0.9069767441860465,743.0
